YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF RATING RANK,RPPF RATING,NPB RATING RANK,NPB RATING,RADJ O RANK,RADJ O,RADJ D RANK,RADJ D,RADJ EM RANK,RADJ EM,R PACE RANK,R PACE,R SOS RANK,R SOS,STROE RANK,STROE,STRDE RANK,STRDE,STRT+ RANK,STREM RANK,STREM,STREM RANK 2
2023,955,Texas A&M Corpus Chris,16,64,188,0.6023,182,0.7256,139,107,238,108.2,179,-1.2,79,69.3,338,0.4994,100,81.46,174,100.85,170,170,-19.39,128
2023,954,Texas Southern,16,68,275,0.4647,279,0.6151,324,96.2,215,107.1,293,-10.9,71,69.4,292,0.5362,295,65.92,142,98.8,219,278,-32.88,226
2023,953,UC Santa Barbara,14,64,115,0.7035,131,0.7819,74,111.1,159,104.7,105,6.4,303,65,179,0.5997,108,80.87,216,104.57,150,100,-23.7,157
2023,952,UCLA,2,16,4,0.9564,5,0.9614,27,115.1,1,86.9,3,28.2,228,66.3,36,0.7502,37,88.83,3,75.7,2,2,13.13,10
2023,951,UNC Asheville,15,64,185,0.6059,183,0.7252,192,103.9,118,102.8,151,1.1,123,68.5,295,0.5331,191,74.43,113,96.3,120,146,-21.87,146
2023,950,USC,10,64,43,0.8337,40,0.881,36,113.7,45,97.3,34,16.4,139,68.2,46,0.7393,47,87.72,44,88.79,36,38,-1.07,37
2023,949,Utah St.,10,64,21,0.8781,17,0.9179,12,118.1,59,98.3,18,19.8,107,68.8,51,0.7371,14,95.79,51,90.14,31,21,5.65,18
2023,948,VCU,12,64,61,0.8022,63,0.8647,124,107.7,14,93.6,54,14.1,148,68,118,0.6527,130,78.63,21,83.97,34,56,-5.34,57
2023,947,Vermont,15,64,113,0.7113,120,0.7924,95,109.7,146,103.9,110,5.8,312,64.7,247,0.56,127,78.89,205,103.69,150,111,-24.8,164
2023,946,Virginia,4,64,38,0.8384,48,0.8745,85,110.4,19,94.1,35,16.3,360,61.6,84,0.7084,148,77.11,79,93.21,46,26,-16.1,102
2023,945,West Virginia,9,64,18,0.8856,15,0.9208,14,117.8,53,98,18,19.8,96,69,5,0.7964,13,95.9,37,87.83,24,20,8.07,14
2023,944,Xavier,3,16,13,0.8981,13,0.9248,6,119.6,71,99.5,16,20.1,40,70.3,17,0.767,3,102.26,35,87.67,20,19,14.59,6
2022,943,Akron,13,64,125,0.6515,118,0.7674,121,105.6,155,102.2,127,3.4,352,62.1,263,0.5146,188,71.93,262,103.57,198,128,-31.64,224
2022,942,Alabama,6,64,20,0.8184,29,0.8726,11,117.1,103,99.3,25,17.8,12,71.8,1,0.7543,6,98.82,32,84.73,25,30,14.09,8
2022,941,Arizona,1,16,2,0.9117,2,0.9634,4,120.9,22,93.1,2,27.8,8,72.2,70,0.6776,2,104.37,9,76.65,4,6,27.72,2
2022,940,Arkansas,4,8,22,0.8154,23,0.877,33,112,17,92.1,17,19.9,27,70.7,30,0.7079,22,88.86,10,77.09,13,23,11.77,10
2022,939,Auburn,2,32,12,0.8538,12,0.9077,19,114.5,8,89.5,10,25,37,70.2,25,0.7086,11,92.14,5,73.89,6,12,18.25,3
2022,938,Baylor,1,32,6,0.8885,7,0.9268,8,118.4,15,91.6,5,26.8,167,67.3,20,0.7137,10,95.25,13,80.3,5,3,14.95,7
2022,937,Boise St.,8,64,31,0.7919,27,0.8742,72,108.8,17,92.1,27,16.7,304,64.7,77,0.6701,120,76.33,34,85.52,21,25,-9.19,66
2022,936,Bryant,16,68,209,0.5368,211,0.6697,148,104.3,225,105.8,186,-1.5,6,72.3,340,0.463,96,78.4,148,95.18,163,183,-16.78,116
2022,935,Cal St. Fullerton,15,64,178,0.5695,177,0.7131,157,103.9,165,102.4,150,1.5,234,66.1,218,0.5435,174,72.85,198,99.23,169,148,-26.38,182
2022,934,Chattanooga,13,64,76,0.7296,64,0.8412,69,109.6,95,98.8,75,10.8,296,64.8,134,0.5923,86,79.32,142,94.84,99,69,-15.52,106
2022,933,Colgate,14,64,138,0.6297,166,0.7255,82,108.1,196,104,120,4.1,154,67.4,323,0.4766,85,79.36,204,99.81,158,120,-20.45,129
2022,932,Colorado St.,6,64,40,0.7762,42,0.8537,25,113.7,72,97.7,33,16,286,65,82,0.6637,35,85.67,124,93.83,69,29,-8.16,59
2022,931,Connecticut,5,64,18,0.8202,22,0.8792,23,114,34,94.4,19,19.6,293,64.9,74,0.6743,29,86.99,43,86.54,22,17,0.45,26
2022,930,Creighton,9,32,57,0.7577,62,0.8426,121,105.6,16,91.8,52,13.8,183,67,27,0.7084,127,75.91,18,81.65,33,56,-5.74,47
