YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF PRESEASON RANK,PRESEASON RPPF RATING,RPPF RATING CHANGE RANK,RPPF RATING CHANGE,RPPF RATING RANK CHANGE RANK
2021,808,Wisconsin,9,32,11,0.8541,181,0.0069,-3
2019,807,Abilene Christian,15,64,203,0.5327,47,0.1204,57
2019,806,Arizona St.,11,64,30,0.8216,258,-0.0273,-28
2019,805,Auburn,5,4,12,0.8738,193,0.0178,-3
2019,804,Baylor,9,32,72,0.7437,103,0.0702,22
2019,803,Belmont,11,64,114,0.6732,35,0.1413,65
2019,802,Bradley,15,64,105,0.6914,318,-0.0805,-69
2019,801,Buffalo,6,32,78,0.7345,40,0.1338,57
2019,800,Cincinnati,7,64,54,0.7759,90,0.0793,27
2019,799,Colgate,15,64,226,0.5122,23,0.1636,88
2019,798,Duke,1,8,2,0.9437,146,0.0449,1
2019,797,Fairleigh Dickinson,16,64,262,0.4583,82,0.0868,40
